('cûş', ['gülzâr', 'safâ-yı', 'dil-ber', 'sûret', 'dîvâne', 'yol', 'geç', 'şehr', 'sahn', 'gûyâ'])
('lücce', ['âl', 'gâyet', 'ney', 'nev', 'hak', 'berg', 'i̇tdi', 'sadef', 'nesîm', 'tutar'])
('hüsn', ['mey', '‘aşk', 'bâkî', 'gör', 'yâr', 'câm', 'cân', 'gel', 'gam', 'bâkıyâ'])
('çeşme', ['güzel', 'gamze', 'üzre', 'dil', 'la’l', 'dâg', 'zülf', 'hâl', 'sâgar', 'nigâr'])
('mihr', ['dil', 'kıl', 'yâr', 'göñül', 'bâkî', 'gör', 'cihân', 'gel', 'âb', 'cân'])
('rûşen', ['bil', 'san', 'âh', '‘aşk', 'la’l', 'gül', 'baş', 'mey', 'derd', 'bâkî'])
('safha', ['gamze', 'çeker', 'dil', 'sîne', 'bâkî', 'dîde', 'gül', 'bul', 'kûy', 'gam'])
('oku', ['mutrib', 'sohbet', '‘âdil', 'sabâ', 'yak', 'hergiz', 'gül-berg', 'bûy', 'sûret', 'semend'])
('kalem', ['gam', 'dîde', 'şâh', 'çeşm', 'zülf', 'baş', 'geç', 'şevk', 'yâr', 'bâkî'])
('hüner', ['sünbül', 'dâg', 'şehr', 'açı', 'bahâr', 'vasf', 'saç', 'şevk', 'geçe', 'leb'])
('şâhid', ['maksûd', 'hûrşîd', 'mest', 'yit', '‘âşık', 'gamze', 'seyr', 'nâle', 'zülf', 'revân'])
('endîşe', ['hevâ', 'gird', 'terk', 'hançer', '‘aşkuñda', 'zîbâ', 'mest', 'vuslat', 'sal', 'hâk'])
('iç', ['kıl', 'yâr', 'bâkî', 'gül', 'cân', 'la’l', 'mihr', 'çeşm', 'gel', 'dil'])
('hân', ['baş', 'serv', 'yâr', 'zülf', 'bâkî', 'bul', 'âh', 'tur', 'dil', 'mey'])
('râh', ['güzel', 'hüsn', '‘aşk', 'câm', 'la’l', 'mahabbet', 'zülf', '‘âşık', 'gül', 'âh'])
('niyâz', ['iste', 'berg', 'hâl', 'düş', 'kûy', 'gam', 'çemen', 'ehl', 'sahn', 'gül'])
('çeker', ['dil', 'bâkî', 'mâh', '‘aşk', 'yâr', 'kıl', 'gör', 'sîne', 'ruh', 'zülf'])
('gerd', ['and', 'eger', 'mest', 'tâze', 'hayâl', 'hâk', 'pâk', 'âl', 'nûş', 'çeker'])
('pâyin', ['fa’ûlün', 'evc', 'n’eyleyelüm', 'sî', 'dü-tâ', 'sitem', 'kap', '‘itâb', 'bî-dâr', 'kattâl'])
('ş', ['gül', 'mâh', 'yâr', 'cihân', 'göñül', 'câm', 'çeşm', 'san', 'hâl', 'âh'])
('sad', ['semend', 'sakın', 'gûş', 'tâk', 'vuslat', 'hâsılı', 'geh', 'rûh', 'göster', 'derûn'])
('âb', ['gül', 'dil', 'bâkî', '‘aşk', 'yâr', 'gam', 'cân', 'mey', 'câm', 'bil'])
('hayâ', ['bâg', 'kal', 'gam', 'bâd', 'bezm', 'gonca', 'felek', 'göñül', 'gül', 'göz'])
('çîn', ['kûy', 'şâh', 'gamze', 'dîde', 'âb', 'bul', 'hüsn', 'göz', 'bil', 'derd'])
('leylî', ['sev', 'ergavân', 'hicrân', 'hüner', 'dem-â-dem', 'bâ’is', 'kadem', 'erbâb', 'kemâl', 'ham'])
('reng', ['sâkî', 'baş', 'rûy', 'gülşen', 'sâgar', 'hançer', 'derd', '‘aşk', 'yit', 'yan'])
('pertev', ['mihr', 'yâr', 'bâkî', 'gün', 'kıl', 'ruh', 'çek', 'bezm', 'gonca', 'şâh'])
('bezm', ['gel', 'câm', 'bâkî', 'gül', 'dil', 'yâr', 'gam', 'cân', 'gör', 'leb'])
('tûtî', ['şeb', 'zâr', 'meger', 'subh', 'dah', 'değeri', 'san', 'câm', 'hûn', 'sâkî'])
('nisbet', ['âb', 'felek', '‘ayş', 'bâd', 'vasl', 'bâg', 'şarâb', 'gül', 'bul', 'nihâl'])
('nazm', ['bul', 'ehl', 'belâ', 'bülbül', 'la’l', 'kûy', 'üzre', 'çeşm', 'bâd', 'gün'])
('feryâd', ['değerik', 'kan', 'gonca', 'seyr', 'değeriş', 'cevr', 'değeri', 'tur', 'pâk', 'düş'])
('şeh', ['ruhsâr', 'çemen', 'gül', 'bülbül', 'bâkî', 'derd', 'yol', 'kûy', 'âyîn', 'gam'])
('mülk', ['hâk', 'bâd', 'bezm', 'dil', 'kûy', 'göz', 'dil-ber', 'felek', 'açı', 'mey'])
('zer', ['hâk', 'gam', 'cân', 'yâr', 'kûy', 'dil', 'bâkî', 'vasl', 'bâg', 'üzre'])
('nakd', ['meclis', 'gamze', 'hâl', 'nesîm', 'leb', 'şevk', 'gam', 'la’l', 'dest', 'üzre'])
('kühen', ['dil-rübâdan', 'dil-güşâ', 'yili', 'şâdmân', 'melâmetde', 'kış', 'itmekdür', 'şirârıdur', 'sahîfe', 'beden'])
('harc', ['virmez', 'bas', 'gelz', 'teşne', 'eylem', 'saltanat', 'reşk', 'garrâ', 'fark', 'gülsitân'])
('encüm', ['göz', 'halk', 'iç', '‘aşkuñ', 'diyü', 'kul', 'dehr', 'sultân', 'felek', 'câm'])
('çarh', ['yâr', 'gel', 'sîne', 'bil', 'çeşm', 'dil', 'âh', 'mâh', 'cân', 'san'])
('güher', ['‘âşık', 'gel', 'zülf', 'leb', 'sultân', 'bezm', 'câm', 'baş', 'bâkî', 'göñül'])
('yerin', ['dest-efşân', 'dâgın', 'bî-bedel', 'gayret', 'nâzüklik', 'kîl', 'geçz', 'âşık', 'darb', 'fârig'])
('endûh', ['düz', 'müje', 'siyâh', 'hvâce', 'kâr', 'and', 'eflâk', 'h', 'hüner', 'giryân'])
('gayr', ['sev', 'mülk', 'dök', 'subh', 'dâg', 'ebrû', 'çek', 'derûn', 'sakın', 'şehr'])
('heves', ['koma', 'peydâ', 'rûşen', 'fazl', 'nisâr', 'semt', 'gird', 'sabr', 'yig', 'şikest'])
('hayâl', ['gam', 'kıl', 'bâkî', 'mâh', 'san', 'yâr', 'hâk', 'gamze', 'felek', 'gül'])
('ban', ['gûyâ', 'mahabbet', '‘aşka', 'şemşîr', 'tut', 'hat', 'şu’le', 'kıl', 'rûy', '‘aşkuñ'])
('cihân', ['yâr', 'âh', 'dil', 'bâkî', 'gül', 'gör', 'hâl', 'mihr', 'gam', 'gel'])
('tîşe', ['âvâre', 'bâ’is', 'sûfî', 'hilâl', 'gâyet', 'halka', 'tâze', 'bahs', 'şikâr', 'dile'])
('açı', ['cân', 'dil', 'çemen', 'gül', 'bâd', 'bâkî', 'la’l', 'göñül', 'mihr', 'baş'])
('tâb', ['bülbül', 'la’l', '‘aşk', 'sîne', 'cân', 'dil', 'bâd', 'düş', 'bâkî', 'şâh'])
('gül', ['bâkî', 'kıl', 'yâr', 'gam', 'dil', 'câm', 'cân', 'gel', 'hâk', 'üzre'])
('girîbân', ['gice', 'mâ’il', 'künc', 'bîmâr', 'gülzâr', 'kand', 'hayâ', 'hançer', 'sâkî', 'hemân'])
('dâmen', ['kara', 'bîmâr', 'kalb', 'eflâk', 'nâle', 'firâk', 'dâ’im', 'nev', 'hûrşîd', 'şekl'])
('yak', ['cân', 'çek', 'serv', 'dil', '‘aşk', 'seyr', 'bâkî', 'eşk', 'gel', 'leb'])
