('mihr', ['gâlib', 'ver', 'gül', 'çeşm', 'dil', 'aşk', 'cân', 'gel', 'zülf', 'leb'])
('meh', ['gel', 'mâh', 'dil', 'gâlib', 'çeşm', 'rûh', 'sultân', 'ver', 'aşk', 'nûr'])
('âlem', ['ver', 'gâlib', 'çeşm', 'gül', 'dil', 'yâr', 'zülf', 'kıl', 'feyz', 'hazret'])
('rûz', ['gâlib', 'çeşm', 'âlem', 'gül', 'ver', 'mihr', 'cân', 'gel', 'dil', 'aşk'])
('encüm', ['derd', 'nigeh', 'mehtâb', 'dîde', 're’y', 'behişt', 'bul', 'niçe', 'seyr', 'lâzım'])
('neml', ['enver', 'rengîne', 'enîn', 'elvân', 'hâdî', 'süm', 'allâh’a', 'mevlânâ-yı', 'iltifât', 'târaf'])
('tesbîh', ['şevket', 'safha', 'harîm', 'dîvân', 'behişt', 'kat', 'bîmâr', 'sûr', 'hems', 'sitem'])
('küfr', ['gel', 'neş’e', 'âşık', 'ney', 'uşşâk', 'söz', 'san', 'gelir', 'değeri', 'hicrân'])
('îmân', ['âftâb', 'zülf', 'dil', 'gâlib', 'dah', 'san', 'feyz', 'safâ', 'gam', 'ver'])
('cemâl', ['zülf', 'ver', 'nûr', 'gâlib', 'ehl', 'dil', 'san', 'gül', 'kal', 'âlem'])
('bend', ['ver', 'kıl', 'gör', 'gâlib', 'çeşm', 'âlem', 'san', 'cân', 'gül', 'yâr'])
('çâker', ['huzûr', 'nâzı', 'kilk', 'eyyâm', 'azm', 'kâfi', 'odur', 'dök', 'efkâr', 'mehd'])
('mehd', ['meh', 'kasr', 'kal', 'bahâr', 'tut', 'sûret', 'sultân', 'hazret', 'dîde', 'lutf'])
('şems', ['aşk', 'hüsnü', 'etme', 'çeşm', 'kıl', 'cân', 'dil', 'ban', 'gam', 'gör'])
('cild', ['âl', 'mâye', 'nakl', 'edez', 'pîş', 'bulun', 'etmededir', '\x17erîf', 'kâh', 'târz'])
('kitâb', ['cümle', 'çık', 'tâze', 'deiil', 'rûy', 'tîr', 'kalb', 'hâtır', 'hurşîd', 'hasret'])
('hamd', ['deryâ', 'kân', 'heyh', 'sürme', 'halka', 'kâm-yâb', 'dol', 'berâber', 'rindân', 'etmişler'])
('kudret', ['gülşen', 'bend', 'subh', 'sûret', 'eyleyip', 'kıl', 'hâk', 'bil', 'gevher', 'yâr'])
('defter', ['gösteri', 'behişt', 'tamâm', 'mevlâ', 'gonce', 'tâze', 'gürûh', 'dâg', 'mest', 'gûy'])
('mâh', ['dil', 'kıl', 'gel', 'âteş', 'çeşm', 'ver', 'âlem', 'gâlib', 'aşk', 'nûr'])
('safâ', ['gâlib', 'ver', 'çeşm', 'mihr', 'gül', 'dil', 'kıl', 'gel', 'gör', 'gam'])
('çeşme', ['d', 'tavr', 'kal', 'himmet', 'gam', 'hatt', 'gel', 'âlem', 'çarh', 'reng'])
('gülşen', ['dil', 'gül', 'kıl', 'gâlib', 'çeşm', 'nûr', 'gör', 'aşk', 'ver', 'âlem'])
('dehr', ['hüsn', 'tîg', 'la’l', 'hâl', 'leb', 'dil', 'gel', 'zülf', 'mey', 'etme'])
('kevser', ['ihsân', 'yer', 'behişt', 'aşkın', 'mevlâ', 'geh', 'hak', 'es’ad', 'ets', 'geç'])
('keştî', ['gülzâr', 'şarâb', 'nefes', 'tut', 'tâk', 'mest', 'şâh', 'mübârek', 'belâ', 'dü'])
('bahr', ['gâlib', 'ver', 'çeşm', 'ehl', 'kıl', 'hazret', 'cihân', 'aşk', 'âlem', 'gör'])
('kerem', ['çeşm', 'hazret', 'gel', 'gâlib', 'cân', 'âlem', 'nûr', 'cihân', 'mihr', 'yâr'])
('nakl', ['bak', 'naza', 'sohbet', 'söyle', 'girdâb', 'gülşen', 'zât', 'gamze', 'düş', 'bend'])
